dDisplacement_nm_ori     dForce
2988.197     5882.2593
2984.006     5873.6376
2975.871     5858.2126
2971.706     5851.3152
2967.921     5842.38
2963.838     5832.755
2955.58     5815.543
2951.394     5808.2694
2947.337     5802.0304
2939.279     5786.2919
2935.278     5776.1026
2931.252     5766.1014
2923.06     5750.3315
2919.003     5742.9012
2914.817     5734.6244
2910.775     5724.968
2902.455     5710.2641
2898.444     5701.3289
2894.279     5694.0553
2886.242     5677.9719
2882.025     5669.1308
2877.993     5660.2269
2865.734     5644.2689
2861.585     5634.205
2857.604     5625.5206
2853.388     5617.4319
2844.991     5598.2447
2840.964     5589.623
2836.804     5582.4748
2828.623     5564.7298
2824.396     5557.1113
2820.364     5549.3361
2812.127     5535.1025
2808.085     5527.4213
2803.873     5519.1131
2799.729     5509.8017
2791.342     5492.2761
2787.428     5484.7204
2783.217     5476.2868
2775.046     5461.5201
2770.762     5452.0206
2766.582     5444.3394
2758.37     5429.3847
2754.307     5420.2927
2750.08     5411.3888
2741.842     5397.4374
2737.687     5389.5994
2733.44     5381.3226
2729.342     5373.2339
2720.913     5353.3883
2716.82     5344.6412
2712.521     5336.333
2704.299     5318.8701
2699.969     5311.816
2695.799     5303.79
2687.257     5288.3963
2683.303     5279.4611
2678.984     5271.4351
2674.777     5264.6004
2666.226     5246.73
2662.071     5237.6066
2657.962     5228.2639
2649.606     5212.6507
2645.261     5205.5653
2640.967     5197.3198
2632.487     5177.7563
2628.451     5169.3855
2624.286     5159.7292
2619.92     5150.3864
2611.543     5132.8921
2607.249     5126.1202
2603.382     5118.7839
2594.533     5100.5372
2590.429     5092.5739
2586.017     5083.3565
2577.743     5067.085
2573.439     5058.7141
2569.279     5050.0611
2564.913     5039.9972
2556.48     5023.1614
2552.176     5015.2294
2547.918     4998.5503
2543.866     4989.8659
2535.263     4971.8387
2531.005     4963.4365
2526.604     4954.4699
2518.268     4935.0319
2514.036     4927.194
2509.819     4919.9204
2501.15     4903.4921
2497.133     4895.8737
2492.757     4887.9417
2488.479     4878.5048
2479.758     4859.0668
2475.593     4849.2538
2471.412     4842.1683
2462.927     4826.3671
2458.536     4817.9021
2454.227     4808.6534
2445.618     4793.4165
2441.51     4783.8856
2437.216     4775.452
2432.753     4766.7049
2424.211     4749.5869
2419.83     4741.7176
2415.572     4732.7824
2406.985     4715.9779
2402.773     4706.4783
2398.274     4697.6058
2389.558     4679.4846
2385.161     4671.3645
2381.114     4662.2412
2376.692     4654.4973
2368.058     4638.1631
2363.651     4629.3533
2359.265     4620.1673
2350.698     4603.833
2346.368     4594.4275
2342.182     4586.088
2337.76     4576.7452
2329.08     4558.7807
2324.673     4550.4725
2320.426     4542.4779
2315.993     4533.6994
2307.308     4514.4181
2302.937     4507.7089
2299.209     4499.9337
2290.004     4481.687
2285.793     4472.4069
2281.355     4464.1614
2272.88     4445.0369
2268.443     4437.1363
2264.067     4428.3892
2259.835     4421.0216
2246.819     4404.4993
2242.402     4396.6927
2238.15     4386.9423
2229.403     4367.2848
2225.238     4359.3529
2220.831     4351.4209
2216.496     4343.6143
2207.646     4325.2736
2203.393     4316.2444
2199.141     4306.2432
2190.419     4289.909
2185.915     4281.3186
2181.482     4271.192
2177.188     4262.3509
2168.364     4244.888
2164.199     4235.6079
2159.669     4228.9614
2151.045     4212.8153
2146.505     4204.413
2142.381     4195.5405
2137.933     4184.2226
2129.196     4167.5435
2124.686     4158.765
2120.269     4150.0179
2111.496     4133.7151
2107.285     4122.8047
2102.873     4111.7689
2098.425     4103.0845
2089.688     4086.28
2085.209     4078.1913
2081.008     4070.0085
2076.524     4054.1132
2067.808     4037.4028
2063.324     4028.3108
2054.7     4009.876
2050.283     3999.7181
2046.01     3990.7829
2041.51     3981.7536
2032.733     3963.7578
2028.259     3953.8193
2023.96     3945.1035
2015.136     3928.1423
2010.816     3919.5206
2006.394     3911.62
2001.936     3904.0329
1993.163     3885.4727
1988.7     3876.4121
1984.39     3866.5676
1975.433     3850.108
1971.195     3841.7685
1966.675     3832.8333
1962.315     3822.6126
1953.295     3804.5854
1948.986     3795.1799
1944.543     3787.7809
1935.827     3772.6695
1931.22     3764.0791
1926.823     3754.2347
1922.385     3744.7038
1913.679     3727.5544
1909.154     3718.8073
1904.603     3709.9348
1895.79     3692.0644
1891.234     3681.5929
1886.935     3673.7236
1882.41     3665.6349
1873.508     3649.6142
1868.885     3640.4595
1864.499     3629.7059
1855.624     3610.6441
1851.263     3601.9284
1846.589     3593.3067
1837.795     3573.6805
1833.224     3564.6826
1828.941     3556.0609
1819.818     3534.5537
1815.406     3526.1828
1810.85     3520.0065
1806.315     3511.5102
1797.46     3494.2041
1792.893     3485.0181
1788.44     3474.7974
1779.426     3454.3248
1774.973     3446.2674
1770.432     3438.3982
1766.051     3429.2121
1756.857     3412.2195
1752.45     3403.6919
1747.837     3394.161
1739.059     3375.6635
1734.426     3366.7596
1729.968     3357.6363
1725.458     3347.7919
1716.541     3329.2944
1711.985     3318.823
1707.481     3309.5742
1698.338     3290.9513
1693.844     3280.7621
1689.519     3271.7014
1680.654     3253.1099
1676.036     3245.805
1671.362     3235.9292
1666.898     3227.0567
1657.956     3208.8414
1653.539     3200.3137
1648.9     3191.6293
1639.917     3173.7275
1635.304     3165.0431
1630.949     3156.4214
1626.377     3147.737
1617.353     3131.0266
1608.169     3123.0006
1603.731     3115.4762
1594.783     3094.063
1590.356     3085.1278
1585.769     3066.0973
1581.362     3057.2875
1572.224     3039.3544
1568.116     3030.4191
1563.498     3020.7628
1554.52     3002.5162
1549.83     2991.888
1545.31     2983.8933
1540.96     2976.6511
1531.997     2958.7179
1527.394     2950.8486
1522.849     2942.8226
1513.901     2923.7608
1509.561     2913.3521
1504.995     2904.166
1495.806     2887.6751
1491.332     2876.9215
1486.735     2866.356
1482.482     2858.3926
1473.211     2840.0833
1468.783     2831.3362
