dDisplacement_nm_ori     dForce
3132.642     6194.3022
3128.595     6188.0319
3124.739     6180.0059
3120.589     6171.2901
3112.665     6156.3981
3108.469     6148.4034
3104.494     6130.8779
3096.467     6114.8258
3092.775     6108.1793
3088.656     6099.4008
3080.397     6083.4428
3076.242     6075.6363
3072.344     6066.4816
3063.993     6051.9971
3060.204     6043.1559
3056.1     6032.1515
3051.955     6022.8087
3043.743     6006.6313
3039.635     6000.4863
3035.783     5992.3349
3027.663     5974.5899
3023.57     5965.6233
3019.359     5958.5065
3011.332     5941.1377
3007.275     5932.1711
3003.305     5924.7721
2999.032     5917.185
2990.932     5902.4184
2986.659     5894.8626
2982.767     5886.5545
2974.482     5870.5024
2970.518     5860.6893
2966.311     5853.792
2958.218     5838.0848
2953.975     5828.5853
2949.877     5820.5906
2945.83     5811.4673
2937.546     5793.3773
2933.519     5786.1978
2929.339     5777.6702
2921.137     5760.3641
2916.91     5751.8364
2912.899     5745.6915
2904.682     5731.74
2900.588     5723.9021
2896.31     5714.6847
2888.052     5706.0003
2879.876     5690.011
2875.649     5678.6303
2871.447     5669.4756
2863.019     5651.5738
2858.911     5643.83
2854.91     5637.0894
2846.554     5622.1346
2842.363     5612.0708
2838.136     5604.0447
2834.094     5595.9247
2825.743     5581.2834
2821.619     5574.4174
2817.315     5566.3914
2809.072     5547.5804
2804.778     5539.523
2800.793     5532.9705
2796.551     5522.9067
2788.189     5504.4092
2783.911     5495.0978
2779.684     5485.5355
2771.457     5469.9224
2767.23     5460.7677
2763.054     5452.8671
2754.672     5436.0939
2750.528     5428.4441
2746.296     5420.5122
2738.032     5403.9272
2734.098     5396.9357
2729.63     5388.7843
2725.197     5380.194
2716.928     5360.317
2712.568     5352.0088
2708.413     5342.7287
2699.784     5327.1156
2695.788     5319.6226
2691.407     5310.1544
2683.041     5290.5596
2678.639     5282.4395
2674.392     5272.5637
2670.283     5263.1896
2661.906     5249.9592
2657.607     5232.0261
2653.278     5222.7146
2644.803     5208.4496
2640.638     5197.7587
2636.411     5190.7986
2627.859     5172.3012
2623.663     5164.3065
2619.241     5156.7821
2615.276     5148.7561
2606.586     5130.0705
2602.4     5122.3893
2598.055     5111.8552
2589.591     5096.0226
2585.189     5088.0906
2581.055     5077.9954
2576.823     5069.9067
2568.245     5054.7325
2564.034     5046.7065
